Variable Name,Label
B3TSWR10,SGST: reverse single-task trial 10
B3TSWR11,SGST: reverse single-task trial 11
B3TSWR12,SGST: reverse single-task trial 12
B3TSWR13,SGST: reverse single-task trial 13
B3TSWR14,SGST: reverse single-task trial 14
B3TSWR15,SGST: reverse single-task trial 15
B3TSWR16,SGST: reverse single-task trial 16
B3TSWR17,SGST: reverse single-task trial 17
B3TSWR18,SGST: reverse single-task trial 18
B3TSWR19,SGST: reverse single-task trial 19
B3TSWR20,SGST: reverse single-task trial 20
B3TSWX1,SGST: mixed-task trial 1 'normal...green'
B3TSWX2,SGST: mixed-task trial 2 'red'
B3TSWX3,SGST: mixed-task trial 3 'green'
B3TSWX4,SGST: mixed-task trial 4 'reverse...red'
B3TSWX5,SGST: mixed-task trial 5 'red'
B3TSWX6,SGST: mixed-task trial 6 'green'
B3TSWX7,SGST: mixed-task trial 7 'red'
B3TSWX8,SGST: mixed-task trial 8 'red'
B3TSWX9,SGST: mixed-task trial 9 'normal...red'
B3TSWX10,SGST: mixed-task trial 10 'green'
B3TSWX11,SGST: mixed-task trial 11 'red'
B3TSWX12,SGST: mixed-task trial 12 'green'
B3TSWX13,SGST: mixed-task trial 13 'green'
B3TSWX14,SGST: mixed-task trial 14 'red'
B3TSWX15,SGST: mixed-task trial 15 'reverse...green'
B3TSWX16,SGST: mixed-task trial 16 'green'
B3TSWX17,SGST: mixed-task trial 17 'red'
B3TSWX18,SGST: mixed-task trial 18 'green'
B3TSWX19,SGST: mixed-task trial 19 'normal...green'
B3TSWX20,SGST: mixed-task trial 20 'red'
B3TSWX21,SGST: mixed-task trial 21 'green'
B3TSWX22,SGST: mixed-task trial 22 'green'
B3TSWX23,SGST: mixed-task trial 23 'red'
B3TSWX24,SGST: mixed-task trial 24 'reverse...green'
B3TSWX25,SGST: mixed-task trial 25 'green'
B3TSWX26,SGST: mixed-task trial 26 'red'
B3TSWX27,SGST: mixed-task trial 27 'green'
B3TSWX28,SGST: mixed-task trial 28 'red'
B3TSWX29,SGST: mixed-task trial 29 'normal...red'
B3TSWX30,SGST: mixed-task trial 30 'green'
B3TSWX31,SGST: mixed-task trial 31 'red'
B3TSWX32,SGST: mixed-task trial 32 'green'
B3TSTN,SGST: normal single-task number correct
B3TSVN,SGST: normal single-task number invalid
B3TSPN,SGST: normal single-task percent correct
B3TSMN,SGST: normal single-task median reaction time
B3TSTR,SGST: reverse single-task number correct
B3TSVR,SGST: reverse single-task number invalid
B3TSPR,SGST: reverse single-task percent correct
B3TSMR,SGST: reverse single-task median reaction time
B3TSMB,"SGST: mean (B3TSMN, B3TSMR)"
B3TSTXNO,SGST: mixed-task normal nonswitch trials number correct
B3TSVXNO,SGST: mixed-task normal nonswitch trials number invalid
B3TSPXNO,SGST: mixed-task normal nonswitch trials percent correct
B3TSTXRO,SGST: mixed-task reverse nonswitch trials number correct
B3TSVXRO,SGST: mixed-task reverse nonswitch trials number invalid
B3TSPXRO,SGST: mixed-task reverse nonswitch trials percent correct
B3TSTXBO,SGST: mixed-task nonswitch trials number correct
B3TSVXBO,SGST: mixed-task nonswitch trials number invalid
B3TSPXBO,SGST: mixed-task nonswitch trials percent correct
B3TSTXNS,SGST: mixed-task normal switch trials number correct
B3TSVXNS,SGST: mixed-task normal switch trials number invalid
B3TSPXNS,SGST: mixed-task normal switch trials percent correct
B3TSTXRS,SGST: mixed-task reverse switch trials number correct
B3TSVXRS,SGST: mixed-task reverse switch trials number invalid
B3TSPXRS,SGST: mixed-task reverse switch trials percent correct
B3TSTXBS,SGST: mixed-task switch trials number correct
B3TSVXBS,SGST: mixed-task switch trials number invalid
B3TSPXBS,SGST: mixed-task switch trials percent correct
B3TSTXBB,SGST: all mixed-task number correct
B3TSVXBB,SGST: all mixed-task number invalid
B3TSPXBB,SGST: all mixed-task percent correct
B3TSMXNO,SGST: mixed-task normal nonswitch median reaction time
B3TSMXRO,SGST: mixed-task reverse nonswitch median reaction time
B3TSMXBO,SGST: mixed-task nonswitch trials median reaction time
B3TSMXNS,SGST: mixed-task normal switch median reaction time
B3TSMXRS,SGST: mixed-task reverse switch median reaction time
B3TSMXBS,SGST: mixed-task switch trials median reaction time
B3TSMXBB,"SGST: mean (B3TSMXBO, B3TSMXBS)"
B3TSCGBA,"SGST: General Switch Cost, absolute (B3TSMXBB-B3TSMB)"
B3TSCGBR,"SGST: General Switch Cost, relative (B3TSCGBA/B3TSMB)"
B3TSCGNA,"SGST: General Switch Cost (normal), absolute [mean(B3TSMXNO, B3TSMXNS)-B3TSMN]"
B3TSCGNR,"SGST: General Switch Cost (normal), relative (B3TSCGNA/B3TSMN)"
B3TSCGRA,"SGST: General Switch Cost (reverse), absolute [mean(B3TSMXRO, B3TSMXRS)-B3TSMR]"
B3TSCGRR,"SGST: General Switch Cost (reverse), relative (B3TSCGRA/B3TSMR)"
B3TSCLBA,"SGST: Local Switch Cost, absolute (B3TSMXBS-B3TSMXBO)"
B3TSCLBR,"SGST: Local Switch Cost, relative (B3TSCLBA/B3TSMXBO)"
B3TSCLNA,"SGST: Local Switch Cost (normal), absolute (B3TSMXNS-B3TSMXNO)"
B3TSCLNR,"SGST: Local Switch Cost (normal), relative (B3TSCLNA/B3TSMXNO)"
B3TSCLRA,"SGST: Local Switch Cost (reverse), absolute (B3TSMXRS-B3TSMXRO)"
B3TSCLRR,"SGST: Local Switch Cost (reverse), relative (B3TSCLRA/B3TSMXRO)"
B3TSFV,SGST: Filter invalid cases
B3TSFC,SGST: Filter cases with low accuracy or extreme latencies
